"ResponseId","RecordedDate","Q3.2_7_TEXT","Q3.3_4_TEXT","Q3.5_1_TEXT","Q4.1_5_TEXT","Q4.6_8_TEXT","Q4.7_9_TEXT","Q4.8_2_TEXT","Q6.1_8_TEXT","Q6.3_5_TEXT","Q6.4_5_TEXT","Q6.6_5_TEXT","Q6.7_6_TEXT"
"R_eV5svr9zWBTk157","2020-06-17 17:23:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1SRCwbvbYQLT2G5","2020-06-17 17:40:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_33ygJfIWQAagCaY","2020-06-17 18:41:49",NA,NA,NA,NA,NA,NA,"SwissCHI",NA,NA,NA,NA,NA
"R_xGe7SrLGcY05aVz","2020-06-17 18:54:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1r01eL4mld7UQ7U","2020-06-17 20:30:09",NA,NA,"Game Design",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2uqG8nTt6dM59n3","2020-06-17 20:39:37",NA,NA,"Digital Health",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2y4qzCzRvyDqpb9","2020-06-17 21:18:49",NA,NA,NA,NA,"like the idea of doing both!",NA,NA,NA,NA,NA,NA,NA
"R_3Ibe9Te7L5a5xiG","2020-06-17 21:31:27",NA,NA,NA,NA,NA,NA,"Open Lab",NA,NA,NA,NA,NA
"R_2yqGkPAYb8mINfK","2020-06-17 22:46:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2rua75wgJ5JIZMj","2020-06-17 22:47:00",NA,NA,"Digital mental health",NA,NA,"I was not primary author on the publication",NA,NA,NA,NA,NA,NA
"R_33glLqLlobQP4Ni","2020-06-18 00:57:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_4NI1KyaUoLiQiat","2020-06-18 02:19:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2t4KS8IF3QsJ94w","2020-06-18 15:27:32",NA,NA,NA,"Brisbane",NA,NA,NA,NA,NA,NA,NA,NA
"R_2diixGLkAj7Gvov","2020-06-18 20:38:43",NA,NA,NA,NA,NA,"Didn't want to be in USA in election year with Trump as President","SIGCHI Ireland","Poster room was very buggy/laggy",NA,NA,NA,NA
"R_3OcX7bEZnJMQehL","2020-06-18 22:19:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1in8IQFyK1imnom","2020-06-18 22:21:57","Industry Professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_psnfA4yyCVIIr17","2020-06-19 01:53:42",NA,NA,NA,NA,NA,NA,"DutchCHI,GermanCHI",NA,NA,NA,NA,NA
"R_3pmUUNg7KNhtTGP","2020-06-19 02:03:30",NA,NA,NA,"GMT+7",NA,NA,NA,"Mozilla Hub is too heavy for the processor",NA,NA,NA,NA
"R_2drOv2nDRCH7sYd","2020-06-19 08:36:55",NA,NA,NA,"Gmt+7",NA,NA,NA,NA,NA,NA,NA,NA
"R_3oT2kBJvoIFn4mN","2020-06-19 22:47:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1GNspCGnyneLRcw","2020-06-21 06:10:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2fw8R4936Fl2pH3","2020-06-22 00:42:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3shmLmgVxjEc2CA","2020-06-22 15:47:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3noQu3kMRMmmcTA","2020-06-22 18:06:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1f7tPJNSOb5Gvde","2020-06-22 18:54:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2pQwhl7NS33uu1x","2020-06-23 17:34:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
